statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,q1,q2,q3
If max allows sam to keep the dog then sam feels jubilant.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max allows sam to keep the dog then sam feels jubilant."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max allows sam to keep the dog then sam feels jubilant."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max allows sam to keep the dog then sam feels jubilant."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max allows sam to keep the dog then sam feels thankful.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max allows sam to keep the dog then sam feels thankful."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max allows sam to keep the dog then sam feels thankful."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max allows sam to keep the dog then sam feels thankful."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max almost hit sam then sam feels scared.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max almost hit sam then sam feels scared."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max almost hit sam then sam feels scared."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max almost hit sam then sam feels scared."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max also asked sam then max intends to to know why something happened.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max also asked sam then max intends to to know why something happened."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also asked sam then max intends to to know why something happened."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also asked sam then max intends to to know why something happened."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max also decided then sam feels like someone agrees with them.,0,0,0,1,0,1,People and self,Atomic,"Consider the statement, ""If max also decided then sam feels like someone agrees with them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also decided then sam feels like someone agrees with them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also decided then sam feels like someone agrees with them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max also practiced then sam did a good job too.,0,0,0,0,0,1,Natural and physical sciences,Atomic,"Consider the statement, ""If max also practiced then sam did a good job too."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also practiced then sam did a good job too."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also practiced then sam did a good job too."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max also set then sam wants to see how max did.,1,1,0,1,1,1,Culture and the arts,Atomic,"Consider the statement, ""If max also set then sam wants to see how max did."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also set then sam wants to see how max did."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also set then sam wants to see how max did."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max also took sam then sam feels excited.,1,1,0,1,1,0,Human activities,Atomic,"Consider the statement, ""If max also took sam then sam feels excited."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also took sam then sam feels excited."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max also took sam then sam feels excited."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max alters max's course then max intends to cause something good to happen.,1,1,0,0,1,1,People and self,Atomic,"Consider the statement, ""If max alters max's course then max intends to cause something good to happen."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max alters max's course then max intends to cause something good to happen."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max alters max's course then max intends to cause something good to happen."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max alters max's course then max needs to decide it needs to be changed.,0,1,0,0,0,1,People and self,Atomic,"Consider the statement, ""If max alters max's course then max needs to decide it needs to be changed."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max alters max's course then max needs to decide it needs to be changed."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max alters max's course then max needs to decide it needs to be changed."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always beats then sam wants to stop losing.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max always beats then sam wants to stop losing."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always beats then sam wants to stop losing."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always beats then sam wants to stop losing."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always bragged then sam avoids them.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max always bragged then sam avoids them."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always bragged then sam avoids them."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always bragged then sam avoids them."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always forgot then sam feels annoyed.,1,1,0,1,1,1,General reference,Atomic,"Consider the statement, ""If max always forgot then sam feels annoyed."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always forgot then sam feels annoyed."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always forgot then sam feels annoyed."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always listened then sam feels loved.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max always listened then sam feels loved."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always listened then sam feels loved."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always listened then sam feels loved."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always refused then sam should be politely.,1,0,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max always refused then sam should be politely."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always refused then sam should be politely."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always refused then sam should be politely."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always stayed then sam wished he wouldn't always hang around.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max always stayed then sam wished he wouldn't always hang around."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always stayed then sam wished he wouldn't always hang around."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always stayed then sam wished he wouldn't always hang around."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max always wanted a puppy then max intends to to have someone to play with.,1,1,0,1,1,0,People and self,Atomic,"Consider the statement, ""If max always wanted a puppy then max intends to to have someone to play with."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always wanted a puppy then max intends to to have someone to play with."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max always wanted a puppy then max intends to to have someone to play with."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max amends sam act then sam feels glad for having been helped.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max amends sam act then sam feels glad for having been helped."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max amends sam act then sam feels glad for having been helped."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max amends sam act then sam feels glad for having been helped."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max announces max's intention then max feels close to others.,1,0,0,1,1,1,General reference,Atomic,"Consider the statement, ""If max announces max's intention then max feels close to others."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces max's intention then max feels close to others."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces max's intention then max feels close to others."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max announces max's intention then sam feels connected.,1,1,0,1,1,0,Society and social sciences,Atomic,"Consider the statement, ""If max announces max's intention then sam feels connected."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces max's intention then sam feels connected."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces max's intention then sam feels connected."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max announces sam's decision then sam is engaged in conversation.,1,0,0,1,0,1,People and self,Atomic,"Consider the statement, ""If max announces sam's decision then sam is engaged in conversation."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces sam's decision then sam is engaged in conversation."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces sam's decision then sam is engaged in conversation."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max announces sam's intention then sam blushes.,1,1,0,1,0,1,Human activities,Atomic,"Consider the statement, ""If max announces sam's intention then sam blushes."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces sam's intention then sam blushes."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces sam's intention then sam blushes."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max announces the winners then max needs to get in front of an audience.,1,1,0,1,0,1,Human activities,Atomic,"Consider the statement, ""If max announces the winners then max needs to get in front of an audience."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces the winners then max needs to get in front of an audience."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces the winners then max needs to get in front of an audience."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max announces the winners then sam gets awards.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max announces the winners then sam gets awards."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces the winners then sam gets awards."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max announces the winners then sam gets awards."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max anoints sam with oil then sam feels part of the community.,1,0,0,1,1,1,Culture and the arts,Atomic,"Consider the statement, ""If max anoints sam with oil then sam feels part of the community."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max anoints sam with oil then sam feels part of the community."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max anoints sam with oil then sam feels part of the community."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max answers sam questions then sam get's to share what they know.,1,1,0,1,0,0,Society and social sciences,Atomic,"Consider the statement, ""If max answers sam questions then sam get's to share what they know."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers sam questions then sam get's to share what they know."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers sam questions then sam get's to share what they know."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max answers sam's letter then sam has to open the correspondence.,1,1,0,1,0,0,Human activities,Atomic,"Consider the statement, ""If max answers sam's letter then sam has to open the correspondence."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers sam's letter then sam has to open the correspondence."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers sam's letter then sam has to open the correspondence."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max answers sam's phone then sam laughs at max because he or she notices that there is something funny going on on the other end of the line.,1,1,0,1,1,1,Society and social sciences,Atomic,"Consider the statement, ""If max answers sam's phone then sam laughs at max because he or she notices that there is something funny going on on the other end of the line."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers sam's phone then sam laughs at max because he or she notices that there is something funny going on on the other end of the line."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers sam's phone then sam laughs at max because he or she notices that there is something funny going on on the other end of the line."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max answers the door then sam wants to come into thier neighbors house.,0,0,0,1,1,0,People and self,Atomic,"Consider the statement, ""If max answers the door then sam wants to come into thier neighbors house."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers the door then sam wants to come into thier neighbors house."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max answers the door then sam wants to come into thier neighbors house."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max apologizes profusely then sam wants x to think about what they did.,0,0,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max apologizes profusely then sam wants x to think about what they did."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max apologizes profusely then sam wants x to think about what they did."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max apologizes profusely then sam wants x to think about what they did."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max applies for a job then max needs to find a job vacancy in newspaper.,1,1,0,1,0,0,General reference,Atomic,"Consider the statement, ""If max applies for a job then max needs to find a job vacancy in newspaper."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies for a job then max needs to find a job vacancy in newspaper."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies for a job then max needs to find a job vacancy in newspaper."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max applies for a new job then max needs submit a resume or application.,1,1,0,1,0,0,Human activities,Atomic,"Consider the statement, ""If max applies for a new job then max needs submit a resume or application."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies for a new job then max needs submit a resume or application."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies for a new job then max needs submit a resume or application."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max applies for many jobs then sam feels obligated to respond.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max applies for many jobs then sam feels obligated to respond."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies for many jobs then sam feels obligated to respond."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies for many jobs then sam feels obligated to respond."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max applies to colleges then sam they make sure they learn.,1,1,0,1,1,1,Mathematics and logic,Atomic,"Consider the statement, ""If max applies to colleges then sam they make sure they learn."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies to colleges then sam they make sure they learn."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max applies to colleges then sam they make sure they learn."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max appreciates sam's effort then sam receives recognition.,1,1,0,1,0,1,Society and social sciences,Atomic,"Consider the statement, ""If max appreciates sam's effort then sam receives recognition."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max appreciates sam's effort then sam receives recognition."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max appreciates sam's effort then sam receives recognition."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max approaches max's crush then max feels incredibly anxious.,1,1,0,1,1,0,Human activities,Atomic,"Consider the statement, ""If max approaches max's crush then max feels incredibly anxious."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max approaches max's crush then max feels incredibly anxious."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max approaches max's crush then max feels incredibly anxious."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max argues a lot then max intends to his opinion to be recognized as valid.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max argues a lot then max intends to his opinion to be recognized as valid."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max argues a lot then max intends to his opinion to be recognized as valid."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max argues a lot then max intends to his opinion to be recognized as valid."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max argues a lot then sam gets stressed.,1,0,0,1,0,1,Culture and the arts,Atomic,"Consider the statement, ""If max argues a lot then sam gets stressed."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max argues a lot then sam gets stressed."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max argues a lot then sam gets stressed."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max arranges sam in order then sam they know what they are doing.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max arranges sam in order then sam they know what they are doing."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max arranges sam in order then sam they know what they are doing."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max arranges sam in order then sam they know what they are doing."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max arranges sam interview then max needs to contact the person to do an interview with and make arrangements for them to attend.,1,1,0,1,0,0,Human activities,Atomic,"Consider the statement, ""If max arranges sam interview then max needs to contact the person to do an interview with and make arrangements for them to attend."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max arranges sam interview then max needs to contact the person to do an interview with and make arrangements for them to attend."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max arranges sam interview then max needs to contact the person to do an interview with and make arrangements for them to attend."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max arranges sam interview then sam starts job.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max arranges sam interview then sam starts job."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max arranges sam interview then sam starts job."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max arranges sam interview then sam starts job."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks a friend to teach sam then sam feels thankful.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max asks a friend to teach sam then sam feels thankful."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks a friend to teach sam then sam feels thankful."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks a friend to teach sam then sam feels thankful."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks anyone then sam makes a friend.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max asks anyone then sam makes a friend."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks anyone then sam makes a friend."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks anyone then sam makes a friend."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks if sam was okay then max feels relieved sam is okay.,0,0,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max asks if sam was okay then max feels relieved sam is okay."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks if sam was okay then max feels relieved sam is okay."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks if sam was okay then max feels relieved sam is okay."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks max's friends for help then max feels taken care of.,1,0,0,1,1,1,Culture and the arts,Atomic,"Consider the statement, ""If max asks max's friends for help then max feels taken care of."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks max's friends for help then max feels taken care of."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks max's friends for help then max feels taken care of."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks max's sister then sam feels happy to be asked.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max asks max's sister then sam feels happy to be asked."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks max's sister then sam feels happy to be asked."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks max's sister then sam feels happy to be asked."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks sam advice then max feels like they have more ideas.,1,1,0,1,1,1,Philosophy and thinking,Atomic,"Consider the statement, ""If max asks sam advice then max feels like they have more ideas."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam advice then max feels like they have more ideas."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam advice then max feels like they have more ideas."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks sam to be max's wife then max feels extremely happy.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max asks sam to be max's wife then max feels extremely happy."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam to be max's wife then max feels extremely happy."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam to be max's wife then max feels extremely happy."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks sam to stop then sam feels ashamed for what they did.,1,1,0,1,1,1,Society and social sciences,Atomic,"Consider the statement, ""If max asks sam to stop then sam feels ashamed for what they did."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam to stop then sam feels ashamed for what they did."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam to stop then sam feels ashamed for what they did."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks sam's dad then sam feels satisfied for having helped.,1,0,1,0,1,1,Society and social sciences,Atomic,"Consider the statement, ""If max asks sam's dad then sam feels satisfied for having helped."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam's dad then sam feels satisfied for having helped."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks sam's dad then sam feels satisfied for having helped."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max asks to talk then sam feels heated from the confrontation.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max asks to talk then sam feels heated from the confrontation."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks to talk then sam feels heated from the confrontation."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max asks to talk then sam feels heated from the confrontation."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max attracts sam's attention then sam feels curious about max.,1,1,0,1,1,1,Human activities,Atomic,"Consider the statement, ""If max attracts sam's attention then sam feels curious about max."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max attracts sam's attention then sam feels curious about max."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max attracts sam's attention then sam feels curious about max."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max begs sam's forgiveness then sam feels pitiful towards max.,1,1,0,1,1,1,Society and social sciences,Atomic,"Consider the statement, ""If max begs sam's forgiveness then sam feels pitiful towards max."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max begs sam's forgiveness then sam feels pitiful towards max."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max begs sam's forgiveness then sam feels pitiful towards max."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max boldly goes where no man has gone before then max intends to to achieve something new and wants to go beyond anyone has ever gone.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max boldly goes where no man has gone before then max intends to to achieve something new and wants to go beyond anyone has ever gone."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max boldly goes where no man has gone before then max intends to to achieve something new and wants to go beyond anyone has ever gone."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max boldly goes where no man has gone before then max intends to to achieve something new and wants to go beyond anyone has ever gone."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max breaks wind then max wants attempt to minimize the odors that accompany flatulence fanning spraying air freshener opening windows.,0,1,0,1,0,0,People and self,Atomic,"Consider the statement, ""If max breaks wind then max wants attempt to minimize the odors that accompany flatulence fanning spraying air freshener opening windows."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max breaks wind then max wants attempt to minimize the odors that accompany flatulence fanning spraying air freshener opening windows."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max breaks wind then max wants attempt to minimize the odors that accompany flatulence fanning spraying air freshener opening windows."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max buys a new keyboard then sam wants to see if max wants to sign up for their mailing list even though they know max really does not want to.,1,1,0,1,0,1,Mathematics and logic,Atomic,"Consider the statement, ""If max buys a new keyboard then sam wants to see if max wants to sign up for their mailing list even though they know max really does not want to."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max buys a new keyboard then sam wants to see if max wants to sign up for their mailing list even though they know max really does not want to."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max buys a new keyboard then sam wants to see if max wants to sign up for their mailing list even though they know max really does not want to."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max buys a new wallet then max intends to to have an object to store his cash credit and debit cards ids and other miscellaneous items.,1,1,0,1,1,1,People and self,Atomic,"Consider the statement, ""If max buys a new wallet then max intends to to have an object to store his cash credit and debit cards ids and other miscellaneous items."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max buys a new wallet then max intends to to have an object to store his cash credit and debit cards ids and other miscellaneous items."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max buys a new wallet then max intends to to have an object to store his cash credit and debit cards ids and other miscellaneous items."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
If max calls the authorities then max feels like there is a problem that needs to be taken care of that has legal ramifications.,1,1,0,1,1,1,General reference,Atomic,"Consider the statement, ""If max calls the authorities then max feels like there is a problem that needs to be taken care of that has legal ramifications."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max calls the authorities then max feels like there is a problem that needs to be taken care of that has legal ramifications."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""If max calls the authorities then max feels like there is a problem that needs to be taken care of that has legal ramifications."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
